code,name,wac,city,state,country,globalregion,latitude,longitude
AAC,El Arish International,591,El Arish,,Egypt,Africa,31.0764,33.8333
AAD,Ad-Dabbah Airport,583,Ad-Dabbah,,Sudan,Africa,18.05,30.95
AAE,Rabah Bitat,500,Annaba,,Algeria,Africa,36.8217,7.81
AAF,Apalachicola Municipal Airport,33,Apalachicola,Florida,United States,North America,29.7333,-84.9833
AAG,Avelino Vieira,316,Arapoti,Parana,Brazil,South America,-24.1036,-49.79
AAH,Merzbrueck,429,Aachen,,Germany,Europe,50.75,6.1333
AAI,Arraias Airport,316,Arraias,Tocantins,Brazil,South America,-12.9167,-46.9333
AAJ,Cajana,379,Awaradam,,Suriname,South America,3.9,-55.3667
AAK,Aranuka Airport,824,Aranuka,,Kiribati,Australasia,0.1667,173.5833
AAL,Aalborg,419,Aalborg,,Denmark,Europe,57.0931,9.85
AAM,Mala Mala,562,Mala Mala,,South Africa,Africa,-24.8083,31.5417
AAN,Al Ain International,678,Al Ain,,United Arab Emirates,Middle East,24.2617,55.6092
AAO,Anaco,388,Anaco,,Venezuela,South America,9.4319,-64.4639
AAP,Andrau Airpark,74,Houston,Texas,United States,North America,29.8333,-95.6667
AAQ,Vityazevo,475,Anapa,Southern Federal District,Russian Federation,Europe,44.9,37.3167
AAR,Tirstrup,419,Aarhus,,Denmark,Europe,56.3103,10.6181
AAS,Apalapsili,732,Apalapsili,,Indonesia,Asia,-3.9167,139.25
AAT,Altay,713,Altay,,China,Asia,47.749943,88.084547
AAU,Asau,892,Asau,,Western Samoa,Australasia,-13.5167,-172.65
AAV,Allah Valley Airport,766,Alah,,Philippines,Asia,6.3333,124.7667
AAW,Abbottabad Airport,764,Abbottabad,,Pakistan,Asia,34.2,73.25
AAX,Araxa,316,Araxa,Minas Gerais,Brazil,South America,-19.5681,-46.9292
AAY,"Al Ghaydah, Yemen",694,"Al Ghaydah, Yemen",,Yemen,Middle East,16.2,52.1833
AAZ,Quetzaltenango,127,Quetzaltenango,,Guatemala,Central America,14.8655,-91.502
ABA,Abakan,475,Abakan,Siberian Federal District,Russian Federation,Asia,53.7167,91.4333
ABB,Asaba International Airport,555,Asaba,,Nigeria,Africa,6.2031,6.6672
ABC,Albacete Airport,482,Albacete,,Spain,Europe,38.9486,-1.8636
ABD,Abadan Intl,632,"Abadan, Iran",,Iran,Middle East,30.3661,48.2322
ABE,Lehigh Valley International,23,Allentown,Pennsylvania,United States,North America,40.6547,-75.4383
ABF,Abaiang Airport,824,Abaiang,,Kiribati,Australasia,1.6708,173.3042
ABG,Abingdon Downs Airport,802,Abingdon Downs,Queensland,Australia,Australasia,-17.6667,143.2
ABH,Alpha,802,Alpha,Queensland,Australia,Australasia,-23.7,146.5833
ABI,Abilene Regional Airport,74,Abilene,Texas,United States,North America,32.4094,-99.6797
ABJ,Felix Houphouet Boigny,533,Abidjan,,Ivory Coast (Cote d'Ivoire),Africa,5.2564,-3.9269
ABK,Kabri Dar,522,Kabri Dar,,Ethiopia,Africa,6.7339,44.2661
ABL,Ambler River,1,Ambler,Alaska,United States,North America,67.0875,-157.8458
ABM,Northern Peninsula,802,Bamaga,Queensland,Australia,Australasia,-10.9508,142.4
ABN,Albina,379,Albina,,Suriname,South America,5.4833,-54.05
ABO,Aboisso Airport,533,Aboisso,,Ivory Coast (Cote d'Ivoire),Africa,5.4333,-3.2167
ABP,Atkamba Airport,804,Atkamba,,Papua New Guinea,Australasia,-6.0667,141.1
ABQ,International Sunport,86,Albuquerque,New Mexico,United States,North America,35.0417,-106.6064
ABR,Aberdeen Regional,67,Aberdeen,South Dakota,United States,North America,45.4525,-98.4261
ABS,Abu Simbel,591,Abu Simbel,,Egypt,Africa,22.3722,31.6153
ABT,Al-Aqiq,670,Al-Baha,,Saudi Arabia,Middle East,20.2961,41.6342
ABU,Haliwen,732,Atambua,,Indonesia,Asia,-9.3333,124.9
ABV,Nnamdi Azikiwe International Airport,555,Abuja,,Nigeria,Africa,9.0056,7.2661
ABW,Abau,804,Abau,,Papua New Guinea,Australasia,-10.1667,148.7
ABX,Albury,802,Albury,New South Wales,Australia,Australasia,-36.0683,146.9767
ABY,Dougherty County,34,Albany,Georgia,United States,North America,31.5322,-84.1961
ABZ,Dyce,493,Aberdeen,Scotland,United Kingdom,Europe,57.2042,-2.1981
ACA,Acapulco International,148,Acapulco,,Mexico,North America,16.7556,-99.7669
ACB,Antrim County Airport,43,Bellaire,Michigan,United States,North America,44.9833,-85.2167
ACC,Kotoka International,529,Accra,,Ghana,Africa,5.5953,-0.1708
ACD,Alcides Fernandez,327,Acandi,,Colombia,South America,8.5167,-77.3
ACE,Lanzarote,482,Lanzarote,,Spain,Europe,28.9425,-13.6047
ACH,St Gallen-Altenrhein Airport,486,Altenrhein,,Switzerland,Europe,47.485,9.5608
ACI,Alderney,493,Alderney,Channel Islands,United Kingdom,Europe,49.7069,-2.2153
ACJ,Anuradhapura Airport,711,Anuradhapura,,Sri Lanka,Asia,8.35,80.3833
ACK,Nantucket Memorial,13,Nantucket,Massachusetts,United States,North America,41.2567,-70.0597
ACL,Aguaclara,327,Aguaclara,,Colombia,South America,4.75,-73
ACM,Arica,327,Arica,,Colombia,South America,-2.1333,-71.7833
ACN,Ciudad Acuna International,148,Ciudad Acuna,,Mexico,North America,29.3,-100.9167
ACO,Ascona Airport,486,Ascona,,Switzerland,Europe,46.1594,8.7831
ACP,Sahand Airport,632,Maragheh,,Iran,Middle East,37.3544,46.1497
ACR,Araracuara Airport,327,Araracuara,,Colombia,South America,-0.3833,-72.3
ACS,Achinsk,475,Achinsk,Siberian Federal District,Russian Federation,Asia,56.2667,90.5667
ACT,Waco Municipal,74,Waco,Texas,United States,North America,31.6114,-97.2286
ACU,Achutupo,162,Achutupo,,Panama,Central America,9.1819,-78.0155
ACV,Arcata,91,Eureka/Arcata,California,United States,North America,40.9792,-124.1075
ACX,Xingyi Airport,713,Xingyi,,China,Asia,25.0856,104.9594
ACY,Atlantic City Intl,21,Atlantic City,New Jersey,United States,North America,39.4567,-74.5778
ACZ,Zabol Airport,632,Zabol,,Iran,Middle East,31.0858,61.535
ADA,Adana Sakirpasa,679,Adana,,Turkey,Europe,36.9836,35.2808
ADB,Adnan Menderes,679,Izmir-Adnan Mend,,Turkey,Europe,38.2947,27.16
ADC,Andakombe Airport,804,Andakombe,,Papua New Guinea,Australasia,-7.1333,145.7333
ADD,Bole International,522,Addis Ababa,,Ethiopia,Africa,8.9778,38.7981
ADE,Aden International,694,Aden,,Yemen,Middle East,12.8278,45.0306
ADF,Adiyaman Airport,679,Adiyaman,,Turkey,Europe,37.7335,38.4722
ADG,Lenawee County Airport,43,Adrian,Michigan,United States,North America,41.9,-84.0333
ADH,Aldan Airport,475,Aldan,Far East Federal District,Russian Federation,Asia,58.6,125.4
ADI,Arandis,575,Arandis,,Namibia,Africa,-22.4,15
ADJ,Marka International Airpot,639,Amman,,Jordan,Middle East,31.9722,35.99
ADK,Adak Island,1,Adak Island,Alaska,United States,North America,51.8828,-176.6447
ADL,Adelaide International,802,Adelaide,South Australia,Australia,Australasia,-34.9483,138.5347
ADM,Ardmore Municipal Airport,73,Ardmore,Oklahoma,United States,North America,34.3031,-97.0194
ADN,Andes Airport,327,Andes,,Colombia,South America,5.6667,-75.9333
ADO,Andamooka,802,Andamooka,South Australia,Australia,Australasia,-30.3833,137.1958
ADP,Gal Oya,711,Ampara,,Sri Lanka,Asia,8.3,80.4167
ADQ,Kodiak Airport,1,Kodiak,Alaska,United States,North America,57.7542,-152.4833
ADR,Andrews Airport,37,Andrews,South Carolina,United States,North America,33.45,-79.5667
ADS,Addison,74,Dallas,Texas,United States,North America,32.9683,-96.8361
ADT,Ada Municipal,73,Ada,Oklahoma,United States,North America,34.8,-96.6667
ADU,Ardabil,632,Ardabil,,Iran,Middle East,38.25,48.3
ADV,Addeain,583,Addeain,,Sudan,Africa,11.4022,26.1186
ADW,Andrews Air Force Base,35,Camp Springs,Maryland,United States,North America,38.8108,-76.8666
ADX,Leuchars RAF,493,Saint Andrews,Scotland,United Kingdom,Europe,56.3667,-2.8667
ADY,Alldays Airport,562,Alldays,,South Africa,Africa,-22.6667,29.05
ADZ,Gustavo R. Pinilla Int,327,San Andres Island,,Colombia,South America,12.5833,-81.7
AEA,Abemama,824,Abemama,,Kiribati,Australasia,0.4833,173.85
AEB,Youjiang,713,Baise,,China,Asia,23.73,106.96
AED,"Aleneva, Ak",1,"Aleneva, Ak",Alaska,United States,North America,58.033,-152.9
AEE,Adareil,584,Adareil,,South Sudan,Africa,-10.0611,32.97
AEG,Aekgodang,732,Padangsidempuan,,Indonesia,Asia,1.3997,99.4167
AEH,Abecher Airport,511,Abecher,,Chad,Africa,13.8514,20.8508
AEI,Algeciras Railway Station,482,Algeciras,,Spain,Europe,36.1275,-5.4539
AEK,Aseki Airport,804,Aseki,,Papua New Guinea,Australasia,-7.3667,146.2833
AEL,Albert Lea Municipal,63,Albert Lea,Minnesota,United States,North America,43.65,-93.3667
AEO,Aioun el Atrouss,545,Aioun el Atrouss,,Mauritania,Africa,16.7092,-9.6356
AEP,Jorge Newbery,303,Buenos Aires-Newbery,Buenos Aires,Argentina,South America,-34.5589,-58.4158
AER,International,475,Sochi,Southern Federal District,Russian Federation,Europe,43.45,39.9333
AES,Vigra,465,Alesund,,Norway,Europe,62.5625,6.1053
AET,Allakaket,1,Allakaket,Alaska,United States,North America,66.5617,-152.6583
AEU,Abu Musa Ialsnd Airport,632,Abu Musa Island,,Iran,Middle East,25.8875,55.0417
AEX,Alexandria Intl Airport,72,Alexandria,Louisiana,United States,North America,31.3274,-92.5486
AEY,Akureyri,439,Akureyri,,Iceland,Europe,65.6569,-18.0722
AFA,San Rafael,303,San Rafael,Mendoza,Argentina,South America,-34.5892,-68.4006
AFD,Port Alfred Airport,562,Port Alfred,,South Africa,Africa,-33.5833,26.8833
AFF,USAF Academy Airfield,82,Colorado Springs,Colorado,United States,North America,38.8333,-104.7
AFI,Amalfi,327,Amalfi,,Colombia,South America,6.9167,-75.0667
AFK,Kondavattavan Tank SPB,711,Ampara,,Sri Lanka,Asia,7.2917,81.6353
AFL,Oswaldo Marques Dias,316,Alta Floresta,Mato Grosso,Brazil,South America,-9.8654,-56.1059
AFN,Jaffrey Municipal Airport,14,Jaffrey,New Hampshire,United States,North America,42.8333,-72.0667
AFO,Afton,88,Afton,Wyoming,United States,North America,42.7167,-110.9333
AFR,Afore Airport,804,Afore,,Papua New Guinea,Australasia,-9.1333,148.3833
AFS,Zarafshan Airport,788,Zarafshan,,Uzbekistan,Asia,41.6136,64.2331
AFT,Afutara,874,Afutara,,Solomon Islands,Australasia,-9.1167,160.5167
AFW,Fort Worth Alliance,74,Fort Worth-Alliance,Texas,United States,North America,32.9863,-97.3168
AFY,Afyon Airport,679,Afyon,,Turkey,Europe,38.7333,30.6
AFZ,Sabzevar Airport,632,Sabzevar,,Iran,Middle East,36.1686,57.5964
AGA,Agadir-Al Massira Airport,548,Agadir,,Morocco,Africa,30.3806,-9.5458
AGB,Munich Augsburg Airport,429,Munich,,Germany,Europe,48.4261,10.9331
AGC,Allegheny County,23,Pittsburgh,Pennsylvania,United States,North America,40.3547,-79.93
AGD,Anggi,732,Anggi,,Indonesia,Asia,-1.3833,133.8667
AGE,Wangerooge,429,Wangerooge,,Germany,Europe,53.7833,7.9167
AGF,La Garenne,427,Agen,,France,Europe,44.1736,0.5986
AGG,Angoram,804,Angoram,,Papua New Guinea,Australasia,-4.0658,144.0739
AGH,Angelholm-Helsingborg Airport,484,Helsingborg,,Sweden,Europe,56.2931,12.8625
AGI,Wageningen,379,Wageningen,,Suriname,South America,5.7667,-56.6833
AGJ,Aguni,736,Aguni,,Japan,Asia,26.8333,127.1667
AGK,Kagua Airport,804,Kagua,,Papua New Guinea,Australasia,-6.4033,143.8467
AGL,Wanigela,804,Wanigela,,Papua New Guinea,Australasia,-9.3403,149.1553
AGM,Ammassalik Heliport,975,Tasiilaq,,Greenland,North America,65.6667,-37.6667
AGN,Angoon Spb,1,Angoon,Alaska,United States,North America,57.5039,-134.5833
AGO,Magnolia Municipal Airport,71,Magnolia,Arkansas,United States,North America,33.2667,-93.2333
AGP,Malaga Airport,482,Malaga,,Spain,Europe,36.6717,-4.4981
AGQ,G.Karaiskakis Airport,433,Agrinion,,Greece,Europe,38.6019,21.3511
AGR,Kheria,733,Agra,,India,Asia,27.1583,77.9628
AGS,Bush Field,34,Augusta,Georgia,United States,North America,33.3692,-81.9644
AGT,Guarani International Airport,365,Ciudad Del Este,,Paraguay,South America,-25.4555,-54.8434
AGU,Aguascalientes International Airport,148,Aguascalientes,,Mexico,North America,21.7028,-102.3179
AGV,Oswaldo Guevara Mujica,388,Acarigua,,Venezuela,South America,9.5522,-69.2333
AGW,Agnew Airport,802,Agnew,Queensland,Australia,Australasia,-12.15,142.15
AGX,Agatti Island,733,Agatti Island,,India,Asia,10.8242,72.176
AGY,Hbf Railway Station,429,Munich,,Germany,Europe,48.3656,10.8864
AGZ,Aggeneys Airport,562,Aggeneys,,South Africa,Africa,-29.05,18.85
AHA,Naha AFB,736,Okinawa,,Japan,Asia,26.199095,127.644661
AHB,Abha,670,Abha,,Saudi Arabia,Middle East,18.2372,42.6589
AHC,Amedee Aaf,91,Herlong,California,United States,North America,40.2664,-120.1514
AHD,Downtown Executive,73,Ardmore,Oklahoma,United States,North America,34.1667,-97.1333
AHE,Ahe Airport,823,Ahe,,French Polynesia,Australasia,-14.4275,-146.2561
AHF,Arapahoe Municipal Airport,65,Arapahoe,Nebraska,United States,North America,40.3,-99.9
AHH,Amery Municipal Airport,45,Amery,Wisconsin,United States,North America,45.3,-92.35
AHI,Amahai,732,Amahai,,Indonesia,Asia,-3.3333,128.9167
AHJ,Aba Hongyuan,713,Aba Hongyuan,,China,Asia,32.5314,102.3519
AHL,Aishalton Airport,350,Aishalton,,Guyana,South America,2.4833,-59.3167
AHM,Municipal,92,Ashland,Oregon,United States,North America,42.1903,-122.6606
AHN,Athens Municipal,34,Athens,Georgia,United States,North America,33.9483,-83.3269
AHO,Fertilia,450,Alghero,,Italy,Europe,40.6306,8.2889
AHS,Ahuas,131,Ahuas,,Honduras,Central America,15.4728,-84.3514
AHT,Amchitka,1,Amchitka,Alaska,United States,North America,51.3786,179.2586
AHU,Charif Al Idrissi,548,Al Hoceima,,Morocco,Africa,35.1797,-3.8369
AHW,Saihrawl Airport,658,Saihrawl,,Oman,Middle East,21.3428,56.7656
AHY,Ambatolahy Airport,541,Ambatolahy,,Madagascar,Africa,-20.0167,45.5333
AHZ,Alpe D Huez Airport,427,Alpe D Huez,,France,Europe,45.0833,6.0833
AIA,Alliance Municipal,65,Alliance,Nebraska,United States,North America,42.0517,-102.8067
AIB,Anita Bay Airport,1,Anita Bay,Alaska,United States,North America,56.2333,-132.3833
AIC,Ailinglapalap,844,Airok,,Marshall Islands,Australasia,7.1,171.2333
AID,Anderson Municipal,42,Anderson,Indiana,United States,North America,40.1075,-85.6114
AIE,Aiome,804,Aiome,,Papua New Guinea,Australasia,-5.1333,144.7333
AIF,Marcelo P. Halzhausen,316,Assis,Sao Paulo,Brazil,South America,-22.6667,-50.4167
AIG,Yalinga,509,Yalinga,,Central African Republic,Africa,6.5167,23.25
AIH,Aiambak Airport,804,Aiambak,,Papua New Guinea,Australasia,-7.3486,141.2664
AII,Ali Sabieh Airport,525,Ali Sabieh,,Djibouti,Africa,11.15,42.7167
AIK,Aiken Municipal,37,Aiken,South Carolina,United States,North America,33.65,-81.6847
AIL,Ailigandi Airport,162,Ailigandi,,Panama,Central America,9.25,-78.0833
AIM,Ailuk,844,Ailuk,,Marshall Islands,Australasia,10.2,169.9833
AIN,Wainwright,1,Wainwright,Alaska,United States,North America,70.6306,-160.0431
AIO,Atlantic Municipal Airport,61,Atlantic,Iowa,United States,North America,41.4,-95.0167
AIP,Ailinglapalap Island Airport,844,Ailinglapalap Island,,Marshall Islands,Australasia,7.2667,168.8167
AIR,Aripuana,316,Aripuana,Mato Grosso,Brazil,South America,-10.1847,-59.4514
AIS,Arorae,824,Arorae,,Kiribati,Australasia,-2.6333,176.8167
AIT,Aitutaki Island,813,Aitutaki Island,,Cook Islands,Australasia,-18.85,-159.75
AIU,"Atiu, Cook Islands",813,"Atiu, Cook Islands",,Cook Islands,Australasia,-20.0333,-158.1
AIV,George Downer,51,Aliceville,Alabama,United States,North America,33.1,-88.2
AIW,Ai-Ais Airport,575,Ai-Ais,,Namibia,Africa,-27.9833,17.5833
AIY,Bader Field,21,Atlantic City,New Jersey,United States,North America,39.36,-74.4572
AIZ,Lee C Fine Memorial Airport,64,Kaiser/Lake Ozark,Missouri,United States,North America,38.0983,-92.5472
AJA,Napoleon Bonaparte,427,"Ajaccio, Corsica",,France,Europe,41.9242,8.8031
AJF,Al Jouf,670,Jouf,,Saudi Arabia,Middle East,29.8,40.0667
AJI,Agri Airport,679,Agri,,Turkey,Europe,39.658,43.0256
AJJ,Anjoujt,545,Akjoujt,,Mauritania,Africa,19.7306,-14.3744
AJK,Araak Airport,632,Araak,,Iran,Middle East,34.1333,49.8333
AJL,Lengpui,733,Aizawl,,India,Asia,23.7333,92.7167
AJN,Ouani Airport,513,Anjouan,,Comoros,Africa,-12.1264,44.4297
AJO,Aljouf,694,Aljouf,,Yemen,Middle East,15.7167,44.25
AJR,Arvidsjaur,484,Arvidsjuar,,Sweden,Europe,65.5833,19.2833
AJS,MX2,148,Punta Abreojos,,Mexico,North America,26.8333,-113.6667
AJU,Santa Maria,316,Aracaju,Sergipe,Brazil,South America,-10.9833,-37.05
AJY,Manu Dayak International Airport,554,Agadez,,Niger,Africa,16.9642,7.9931
AKA,Wulipu,713,Ankang,,China,Asia,32.5,109.0083
AKB,Atka,1,Atka,Alaska,United States,North America,52.2203,-174.2069
AKC,Canton Akron Fulton International Airport,44,Akron/Canton,Ohio,United States,North America,41.04,-81.4678
AKD,Akola Airport,733,Akola,,India,Asia,20.6667,77.0833
AKE,Akieni,526,Akieni,,Gabon,Africa,-1.1722,13.9167
AKF,Kufra,538,Kufra,,Libya,Africa,24.2,23.3333
AKG,Anguganak,804,Anguganak,,Papua New Guinea,Australasia,-3.5833,142.25
AKH,Prince Sultan Air Base,670,Al Kharj,,Saudi Arabia,Middle East,24.0633,47.5806
AKI,Akiak,1,Akiak,Alaska,United States,North America,60.9056,-161.2233
AKJ,Asahikawa,736,Asahikawa,,Japan,Asia,43.6708,142.4514
AKK,Akhiok,1,Akhiok,Alaska,United States,North America,56.945,-154.1667
AKL,Auckland Intl,851,Auckland,,New Zealand,Australasia,-37.0111,174.7992
AKM,Zakouma Airport,511,Zakouma,,Chad,Africa,10.8833,19.8167
AKN,King Salmon,1,King Salmon,Alaska,United States,North America,58.6786,-156.6494
AKO,Colorado Plains Regional Airport,82,Akron,Colorado,United States,North America,40.1667,-103.2167
AKP,Anaktuvuk Pass,1,Anaktuvuk Pass,Alaska,United States,North America,68.1375,-151.74
AKQ,Astra Ksetra,732,Menggala,,Indonesia,Asia,-4.6167,105.2333
AKR,Akure Airport,555,Akure,,Nigeria,Africa,7.25,5.0833
AKS,Gwaunaru'U,874,Auki,,Solomon Islands,Australasia,-8.6978,160.6808
AKT,Akrotiri RAF Station,611,Akrotiri,,Cyprus,Europe,34.5906,32.9878
AKU,Aksu,713,Aksu,,China,Asia,38.6667,75.6667
AKV,Akulivik,941,Akulivik,Quebec,Canada,North America,60.7333,-78.5833
AKW,Aghajari Airport,632,Aghajari,,Iran,Middle East,30.75,49.6833
AKX,Aktobe,738,Aktobe,,Kazakhstan,Asia,50.25,57.2167
AKY,Sittwe Airport,706,Sittwe,,Myanmar,Asia,20.1303,92.8803
ALA,Almaty International,738,Almaty,,Kazakhstan,Asia,43.35,77.0333
ALB,Albany International,22,Albany,New York,United States,North America,42.7458,-73.8053
ALC,Alicante Airport,482,Alicante,,Spain,Europe,38.2825,-0.5583
ALD,Alerta,368,Alerta,,Peru,South America,-11.7,-69.35
ALE,Casparis Municipal,74,Alpine,Texas,United States,North America,30.4167,-103.75
ALF,Alta,465,Alta,,Norway,Europe,69.9761,23.3806
ALG,Houari Boumediene,500,Algiers,,Algeria,Africa,36.6933,3.2172
ALH,Albany,802,Albany,Western Australia,Australia,Australasia,-34.945,117.8058
ALI,Alice International,74,Alice,Texas,United States,North America,27.7333,-98.0167
ALJ,Kortdoorn,562,Alexander Bay,,South Africa,Africa,-28.5672,16.5364
ALK,Asela,522,Asela,,Ethiopia,Africa,7.9667,39.1167
ALL,Albenga,450,Albenga,,Italy,Europe,44.0333,8.1167
ALM,White Sands Regional,86,Alamogordo,New Mexico,United States,North America,32.8397,-105.99
ALN,St Louis Regional,41,Alton,Illinois,United States,North America,38.895,-90.0544
ALO,Waterloo Municipal,61,Waterloo,Iowa,United States,North America,42.5561,-92.3997
ALP,Nejrab International,676,Aleppo,,Syria,Middle East,36.1808,37.2267
ALQ,G.Machado Ramos,316,Alegrete,Rio Grande do Sul,Brazil,South America,-29.7997,-55.7633
ALR,Alexandra Airport,851,Alexandra,,New Zealand,Australasia,-45.2139,169.3694
ALS,San Luis Valley Rgnl,82,Alamosa,Colorado,United States,North America,37.4367,-105.8667
ALT,Alenquer,316,Alenquer,Para,Brazil,South America,-1.94,-54.7417
ALU,Alula Airport,573,Alula,,Somalia,Africa,11.9667,50.8
ALV,Off-line Point,402,Andorra La Vella,,Andorra,Europe,42.5167,1.5333
ALW,Walla Walla Regional,93,Walla Walla,Washington,United States,North America,46.0947,-118.2911
ALX,Thomas C Russell Field,51,Alexander City,Alabama,United States,North America,32.9333,-85.95
ALY,El Nouzha,591,Alexandria,,Egypt,Africa,31.1878,29.9481
ALZ,Alitak Spb,1,Alitak,Alaska,United States,North America,56.8958,-154.2458
AMA,Rick Husband Intl,74,Amarillo,Texas,United States,North America,35.2272,-101.7219
AMB,Ambilobe,541,Ambilobe,,Madagascar,Africa,-13.1833,48.9833
AMC,Am Timan,511,Am Timan,,Chad,Africa,11.0333,20.2833
AMD,S. VallabhBhai Patel,733,Ahmedabad,,India,Asia,23.0664,72.6242
AME,Alto Molocue,550,Alto Molocue,,Mozambique,Africa,-15.65,37.6833
AMF,Ama,804,Ama,,Papua New Guinea,Australasia,-4.1667,143.5
AMG,Amboin Airport,804,Amboin,,Papua New Guinea,Australasia,-4.6167,143.7
AMH,Arba Mintch,522,Arba Mintch,,Ethiopia,Africa,6.0361,37.5769
AMI,Selaparang,732,Mataram,,Indonesia,Asia,-8.56,116.0969
AMJ,Cirilo Queiroz,316,Almenara,Minas Gerais,Brazil,South America,-16.1833,-40.6833
AMK,Animas Airpark,82,Durango,Colorado,United States,North America,37.2039,-107.8686
AML,Puerto Armuelles Airport,162,Puerto Armuelles,,Panama,Central America,8.2667,-82.8667
AMM,Queen Alia Intl,639,Amman,,Jordan,Middle East,31.717,36
AMN,Gratiot Community,43,Alma,Michigan,United States,North America,43.3222,-84.6894
AMO,Mao Airport,511,Mao,,Chad,Africa,14.1167,15.3167
AMP,Ampanihy,541,Ampanihy,,Madagascar,Africa,-24.6994,44.7331
AMQ,Pattimura,732,Ambon,,Indonesia,Asia,-2.3,128.0833
AMR,Railway Station,482,Almeria,,Spain,Europe,36.8344,-2.4561
AMS,Schiphol,461,Amsterdam,,Netherlands,Europe,52.3083,4.7681
AMT,Amata Airport,802,Amata,South Australia,Australia,Australasia,-26.7667,132.0333
AMU,Amanab,804,Amanab,,Papua New Guinea,Australasia,-3.5167,141.25
AMV,Amderma,475,Amderma,Northwestern Federal District,Russian Federation,Europe,69.7667,61.55
AMW,Ames,61,Ames,Iowa,United States,North America,41.9942,-93.6183
AMX,Ammaroo,802,Ammaroo,Northern Territory,Australia,Australasia,-21.74,135.24
AMY,Ambatomainty,541,Ambatomainty,,Madagascar,Africa,-17.6833,45.6667
AMZ,Ardmore,851,Ardmore,,New Zealand,Australasia,-37.0333,174.9694
ANA,Anaheim,91,Anaheim,California,United States,North America,33.8167,-117.9333
ANB,Anniston Regional,51,Anniston,Alabama,United States,North America,33.5903,-85.8558
ANC,Ted Stevens Intl,1,Anchorage,Alaska,United States,North America,61.1692,-149.9853
AND,Anderson County,37,Anderson,South Carolina,United States,North America,34.4936,-82.71
ANE,Marce Airport,427,Angers,,France,Europe,47.4978,-0.5742
ANF,Cerro Moreno,324,Antofagasta,,Chile,South America,-23.4394,-70.4428
ANG,Angouleme-Brie-Champniers,427,Angouleme,,France,Europe,45.7294,0.2197
ANH,Anuha Island Resort Airport,874,Anuha Island Resort,,Solomon Islands,Australasia,-8.9833,160.5
ANI,Aniak,1,Aniak,Alaska,United States,North America,61.5808,-159.5353
ANJ,Zanaga,515,Zanaga,,Congo,Africa,-2.85,13.8333
ANK,Etimesgut,679,Ankara-Metro,,Turkey,Europe,39.9547,32.6953
ANL,Andulo Airport,502,Andulo,,Angola,Africa,-11.25,17.25
ANM,Antsirabato,541,Antalaha,,Madagascar,Africa,-15,50.3333
ANN,Annette Island,1,Annette Island,Alaska,United States,North America,55.0369,-131.5706
ANO,Angoche Airport,550,Angoche,,Mozambique,Africa,-16.1778,39.9369
ANP,Lee Airport,35,Annapolis,Maryland,United States,North America,38.9833,-76.5
ANQ,Tri-State Steuben Co.,42,Angola,Indiana,United States,North America,41.6333,-85
ANR,Antwerp International,409,Antwerp,,Belgium,Europe,51.19,4.46
ANS,Andahuaylas,368,Andahuaylas,,Peru,South America,-13.7167,-73.3558
ANT,St. Anton Heliport,403,Saint Anton,,Austria,Europe,47.1208,10.2417
ANU,V C Bird Intl,206,Antigua,,Antigua and Barbuda,Caribbean,17.1375,-61.79
ANV,Anvik,1,Anvik,Alaska,United States,North America,62.6478,-160.1889
ANW,Ainsworth Airport,65,Ainsworth,Nebraska,United States,North America,42.55,-99.8667
ANX,Andoya,465,Andenes,,Norway,Europe,69.2931,16.1417
ANY,Anthony,62,Anthony,Kansas,United States,North America,37.15,-98.0333
ANZ,Angus Downs Station,802,Angus Downs Station,Northern Territory,Australia,Australasia,-25.0833,132.1667
AOA,Aroa Airport,804,Aroa,,Papua New Guinea,Australasia,-9.05,146.8
AOB,Annanberg Airport,804,Annanberg,,Papua New Guinea,Australasia,-4.9167,144.65
AOC,Altenburg Nobitz Airport,429,Altenburg,,Germany,Europe,50.9833,12.45
AOD,Abou Deia Airport,511,Abou Deia,,Chad,Africa,11.4747,19.2889
AOE,Anadolu University Airport,679,Eskisehir,,Turkey,Europe,39,30.5
AOG,Teng'ao,713,Anshan,,China,Asia,41.1667,123.0333
AOH,Allen County,44,Lima,Ohio,United States,North America,40.7086,-84.0275
AOI,Falconara,450,Ancona,,Italy,Europe,43.6175,13.3642
AOJ,Aomori,736,Aomori,,Japan,Asia,40.7394,140.7014
AOK,Karpathos,433,Karpathos,,Greece,Europe,35.4214,27.1461
AOL,Paso De Los Libres,303,Paso De Los Libres,Corrientes,Argentina,South America,-29.69,-57.1486
AOM,Adam Airport,658,Adam,,Oman,Middle East,22.4972,57.3833
AON,Arona Airport,804,Arona,,Papua New Guinea,Australasia,-6.3333,146
AOO,Blair County,23,Altoona,Pennsylvania,United States,North America,40.2972,-78.32
AOP,Alfredo V. Sara Bauer,368,Andoas,,Peru,South America,-2.6914,-76.4747
AOQ,Aappilattoq Heliport,975,Aappilattoq-Upernavik,,Greenland,North America,72.8869,-55.5961
AOR,Sultan Abdul Halim,749,Alor Setar,,Malaysia,Asia,6.1911,100.4039
AOS,Amook Bay Sea Plane Base,1,Amook Bay,Alaska,United States,North America,57.4547,-153.8131
AOT,Corrado Gex Airport,450,Aosta,,Italy,Europe,45,7
AOU,Attopeu,744,Attopeu,,Laos,Asia,14.8,106.8167
