code,name,wac,city,state,country,globalregion,latitude,longitude
ICS,Cascade Airport,83,Cascade,Idaho,United States,North America,44.4936,-116.0161
ICT,Mid-Continent,62,Wichita,Kansas,United States,North America,37.65,-97.4328
ICY,Icy Bay,1,Icy Bay,Alaska,United States,North America,59.9658,-141.6583
IDA,Regional,83,Idaho Falls,Idaho,United States,North America,43.5161,-112.0647
IDB,Idre Airport,484,Idre,,Sweden,Europe,61.8667,12.6833
IDC,Chilonzuine Island,550,Chilonzuine Island,,Mozambique,Africa,-22.1767,35.5236
IDF,Idiofa Airport,517,Idiofa,,Democratic Republic of the Congo,Africa,-5.0333,19.6
IDG,Ida Grove Municipal Airport,61,Ida Grove,Iowa,United States,North America,42.35,-95.4667
IDH,Idaho County Airport,83,Grangeville,Idaho,United States,North America,45.9425,-116.1233
IDI,Indiana Airport,23,Indiana,Pennsylvania,United States,North America,40.6167,-79.15
IDK,Indulkana Airport,802,Indulkana,South Australia,Australia,Australasia,-26.9667,133.325
IDN,Indagen,804,Indagen,,Papua New Guinea,Australasia,-6.0333,147.0333
IDO,Santa Isabel Do Morro Airport,316,Santa Isabel Do Morro,Tocantins,Brazil,South America,-11.5667,-50.6667
IDP,Independence Airport,62,Independence,Kansas,United States,North America,37.2333,-95.7
IDR,Devi Ahilya Bai Holkar,733,Indore,,India,Asia,22.7231,75.8056
IDY,Ile d Yeu Airport,427,Ile d Yeu,,France,Europe,46.75,2.5
IEG,Babimost,467,Zielona Gora,,Poland,Europe,51.9333,15.5167
IEJ,Iejima Airport,736,Iejima,,Japan,Asia,26.7333,127.8
IES,Goehlis Airport,429,Riesa,,Germany,Europe,51.2936,13.3561
IEV,Zhuliany International,488,Kiev-Metro,,Ukraine,Europe,50.4019,30.4508
IFA,Iowa Falls Airport,61,Iowa Falls,Iowa,United States,North America,42.5167,-93.2667
IFF,Iffley Airport,802,Iffley,Queensland,Australia,Australasia,-18.9,141.2167
IFH,Hesa Airport,632,Hesa,,Iran,Middle East,32.9167,51.55
IFJ,Isafjordur,439,Isafjordur,,Iceland,Europe,66.0597,-23.1328
IFL,Innisfail,802,Innisfail,Queensland,Australia,Australasia,-17.55,146.0167
IFN,Shahid Beheshti International Airport,632,Esfahan,,Iran,Middle East,32.7528,51.862
IFO,Ivano-Frankivsk International,488,Ivano-Frankivsk,,Ukraine,Europe,48.8833,24.6833
IFP,Laughlin/Bullhead Intl,81,Bullhead City,Arizona,United States,North America,35.1633,-114.5644
IFU,Ifuru,750,Ifuru,,Maldives,Asia,5.7081,73.025
IGA,Matthew Town,204,Inagua,,Bahamas,Caribbean,20.9833,-73.6667
IGB,Ingeniero Jacobacci Airport,303,Ingeniero Jacobacci,Rio Negro,Argentina,South America,-41.3,-69.5833
IGD,Igdir,679,Igdir,,Turkey,Europe,39.9744,43.8797
IGE,Tchongorove,526,Iguela,,Gabon,Africa,-1.9167,9.3167
IGG,Igiugig,1,Igiugig,Alaska,United States,North America,59.3239,-155.9
IGH,Ingham,802,Ingham,Queensland,Australia,Australasia,-18.8,146.1
IGL,Cigli AB,679,Izmir,,Turkey,Europe,38.5117,27.0083
IGM,Kingman Municipal,81,Kingman,Arizona,United States,North America,35.2567,-113.94
IGN,Maria Cristina,766,Iligan,,Philippines,Asia,8.1311,124.2142
IGO,Jaime Ortis Betancur,327,Chigorodo,,Colombia,South America,7.6817,-76.6867
IGR,Cataratas Del Iguazu,303,Iguazu,Misiones,Argentina,South America,-25.7417,-54.4658
IGS,Ingolstadt-Manching Airport,429,Ingolstadt-Manching,,Germany,Europe,48.7167,11.5339
IGT,Sleptsovskaya,475,Nazran,Southern Federal District,Russian Federation,Europe,43.3178,45.0017
IGU,Cataratas International,316,Foz do Iguacu,Parana,Brazil,South America,-25.5247,-54.5847
IHA,Off-line Point,736,Niihama,,Japan,Asia,33.95,133.3
IHC,Inhaca Airport,550,Inhaca,,Mozambique,Africa,-26,32.9333
IHN,Qishn Airport,694,Qishn,,Yemen,Middle East,15.05,50.05
IHO,Ihosy,541,Ihosy,,Madagascar,Africa,-22.4014,46.1333
IHR,Iranshahr Airport,632,Iranshahr,,Iran,Middle East,27.2369,60.7242
IHU,Ihu,804,Ihu,,Papua New Guinea,Australasia,-7.9006,145.3936
IIA,Inishmaan Airport,441,Inishmaan,,Ireland,Europe,53.0833,-9.5333
IIL,Ilam Airport,632,Ilam,,Iran,Middle East,33.6167,46.4333
IIN,Nishinoomote,736,Nishinoomote,,Japan,Asia,30.8333,131.0083
IIS,Nissan Island,804,Nissan Island,,Papua New Guinea,Australasia,-4.3333,154.3417
IJK,Izhevsk,475,Izhevsk,Volga Federal District,Russian Federation,Europe,56.8333,53.4667
IJU,J. Batista Bos Filho Airport,316,Ijui,Rio Grande do Sul,Brazil,South America,-28.4167,-53.9167
IJX,Jacksonville Municipal Airport,41,Jacksonville,Illinois,United States,North America,39.7742,-90.2372
IKA,Imam Khomeini International,632,Tehran,,Iran,Middle East,35.4097,51.1508
IKB,Wilkes County Airport,36,Wilkesboro,North Carolina,United States,North America,36.15,-81.15
IKE,Heliport,975,Ikerasak,,Greenland,North America,70.4981,-51.3031
IKI,Iki Airport,736,Iki,,Japan,Asia,33.7456,129.7883
IKK,Greater Kankakee,41,Kankakee,Illinois,United States,North America,41.0714,-87.8489
IKL,Ikela Airport,517,Ikela,,Democratic Republic of the Congo,Africa,-1.6667,23.6667
IKO,Nikolski Air Station,1,Nikolski,Alaska,United States,North America,52.9417,-168.85
IKP,Inkerman Airport,802,Inkerman,Queensland,Australia,Australasia,-16.25,141.5
IKS,Tiksi,475,Tiksi,Far East Federal District,Russian Federation,Asia,71.7,128.9
IKT,Irkutsk,475,Irkutsk,Siberian Federal District,Russian Federation,Asia,52.2667,104.4
ILA,Illaga,732,Illaga,,Indonesia,Asia,-3.8333,137.5833
ILB,Ilha Solteira Airport,316,Ilha Solteira,Mato Grosso do Sul,Brazil,South America,-20.3333,-51.3333
ILD,Lleida-Alguaire Airport,482,Lleida-Alguaire,,Spain,Europe,41.7277,0.5358
ILE,Skylark Field,74,Killeen/Fort Hood,Texas,United States,North America,31.0864,-97.6867
ILF,Ilford,926,Ilford,Manitoba,Canada,North America,56.0667,-95.6269
ILG,Greater Wilmington,31,Phila.Pa/Wilm'Ton,Delaware,United States,North America,39.6783,-75.6075
ILH,Illis Airbase,429,Illisheim,,Germany,Europe,49.4736,10.3878
ILI,Iliamna,1,Iliamna,Alaska,United States,North America,59.7528,-154.9083
ILK,Ilaka Atsinanana Airport,541,Ilaka Atsinanana,,Madagascar,Africa,-20.3333,47.1667
ILL,Willmar Municipal,63,Willmar,Minnesota,United States,North America,45.1153,-95.0853
ILM,New Hanover County,36,Wilmington,North Carolina,United States,North America,34.2669,-77.9039
ILN,Wilmington Air Park,44,Wilmington,Ohio,United States,North America,39.4931,-83.7408
ILO,International,766,Iloilo,,Philippines,Asia,10.7144,122.5436
ILP,Moue,846,Ile Des Pins,,New Caledonia,Australasia,-22.5897,167.4475
ILQ,"Ilo, Peru",368,"Ilo, Peru",,Peru,South America,-17.6958,-71.343
ILR,Ilorin International,555,Ilorin,,Nigeria,Africa,8.4397,4.4947
ILU,Kilaguni Airport,535,Kilaguni,,Kenya,Africa,-2.9,38.05
ILX,Ileg Airport,804,Ileg,,Papua New Guinea,Australasia,-5.483,145.833
ILY,Islay Airport,493,Islay,Scotland,United Kingdom,Europe,55.6819,-6.2542
ILZ,Zilina,483,Zilina,,Slovakia,Europe,49.2333,18.7667
IMA,Iamalele,804,Iamalele,,Papua New Guinea,Australasia,-9.5,150.5
IMB,Imbaimadai Airport,350,Imbaimadai,,Guyana,South America,5.7167,-60.2833
IMD,Imonda Airport,804,Imonda,,Papua New Guinea,Australasia,-3.4333,141.2
IMF,Imphal Airport,733,Imphal,,India,Asia,24.7611,93.8997
IMG,Inhaminga Airport,550,Inhaminga,,Mozambique,Africa,-18.4333,35
IMI,Ine,844,Ine,,Marshall Islands,Australasia,6.9833,171.6167
IMK,Simikot Airport,755,Simikot,,Nepal,Asia,29.9667,81.8167
IML,Imperial Airport,65,Imperial,Nebraska,United States,North America,40.5167,-101.65
IMM,Immokalee Airport,33,Immokalee,Florida,United States,North America,26.4166,-81.4166
IMN,Imane Airport,804,Imane,,Papua New Guinea,Australasia,-6.7,146.0833
IMO,Zemio Airport,509,Zemio,,Central African Republic,Africa,5.0333,25.0833
IMP,Renato Moreira,316,Imperatriz,Maranhao,Brazil,South America,-5.5319,-47.4806
IMR,Rogoredo Railway Station,450,MIlan,,Italy,Europe,45.4333,9.2383
IMT,Ford,43,Iron Mountain/Kingsfd,Michigan,United States,North America,45.8156,-88.1142
IMZ,Nimroz,701,Nimroz,,Afghanistan,Asia,31.1,61.9333
INA,Inta,475,Inta,Northwestern Federal District,Russian Federation,Europe,66.0667,60.1
INB,Independence Airport,106,Independence,,Belize,Central America,17.5472,-88.3
INC,Hedong,713,Yinchuan,,China,Asia,38.3667,106.3667
IND,Indianapolis Intl,42,Indianapolis,Indiana,United States,North America,39.7256,-86.2839
INE,Chinde,550,Chinde,,Mozambique,Africa,-18.6167,36.4
INF,In Guezzam,500,In Guezzam,,Algeria,Africa,19.5625,5.7497
ING,Lago Argentino,303,Lago Argentino,Santa Cruz,Argentina,South America,-50.3347,-72.2489
INH,Inhambane,550,Inhambane,,Mozambique,Africa,-23.8744,35.4083
INI,Nis Constantine the Great Airport,480,Nis,,Serbia,Europe,43.3339,21.8517
INJ,Injune Airport,802,Injune,Queensland,Australia,Australasia,-25.8833,148.5333
INK,Wink,74,Wink,Texas,United States,North America,31.7833,-103.2
INL,Falls International,63,International Falls,Minnesota,United States,North America,48.5631,-93.4042
